animal_name,status,order,adult_mass_g,neonate_mass_g,brain_mass_g,adult_body_length_mm,dphy_plant,dphy_vertebrate,dphy_invertebrate,trophic_level,det_diet_breadth_n,foraging_stratum,habitat_breadth_n,activity_cycle,fossoriality,hibernation_torpor,max_longevity_d,litter_size_n,litters_per_year_y,interbirth_interval_d,gestation_length_d,weaning_age_d,female_maturity_d,age_first_reproduction_d,generation_length_d,density_n_km2,altitude_breadth,dispersal_km
Dasyprocta croconota,dd,Rodentia,2500.0,236.5047859,20.72,608.0725,91.0,0.0,9.0,1,2,G,1,2,1,0,5803.5,1.875,2.26115,131.1194089,106.39,140.0,193.0,302.195,2098.68845,17.5375,200.0,1.901556411
Dasyprocta fuliginosa,lc,Rodentia,3500.01,243.4557529,20.65796523,620.0,90.0,0.0,10.0,1,2,G,1,2,1,0,6709.916665,1.599021667,1.798035,162.3155143,111.554081,140.0,338.876972,441.4011755,2009.629463,29.94938717,1003.823,2.11127095
Dasyprocta guamara,nt,Rodentia,2650.03,234.1988742,19.57520481,620.0,90.0,0.0,10.0,1,2,G,1,2,1,0,5060.801042,1.62152,1.844263768,150.0062695,111.2040261,140.0,352.3476921,458.2387135,1896.342787,36.44896963,30.0,1.811731353
Dasyprocta iacki,dd,Rodentia,3050.0,234.6788542,19.52617686,611.27463,91.0,0.0,9.0,1,2,G,1,2,1,0,5352.492008,1.826485,1.94405,142.1286394,108.5317006,131.049002,304.5825171,402.7118909,1853.366602,22.27018241,1424.138,1.898328912
Dasyprocta kalinowskii,dd,Rodentia,2650.03,237.0551767,19.63282181,620.0,90.0,0.0,10.0,1,2,G,1,2,1,0,5361.378542,1.7679575,1.926155,144.2349628,109.913432,140.0,322.6556139,416.0798638,1860.466793,23.95475294,2080.0,1.811731353
Dasyprocta leporina,lc,Rodentia,2893.7475,231.8711709,20.72,608.0725,90.0,0.0,10.0,1,2,G,1,2,1,0,5803.5,1.875,2.22347,130.5904429,106.39,140.0,193.0,302.195,2098.68845,17.5375,896.669,1.901556411
Dasyprocta mexicana,cr,Rodentia,3849.995,240.7161392,20.12356199,620.0,90.0,0.0,10.0,1,2,G,1,2,1,0,4781.5,1.6423,1.81459,154.0954637,111.5338639,140.0,344.7324129,453.466073,1837.311991,26.06448058,1360.602,2.224892112
Dasyprocta prymnolopha,lc,Rodentia,2900.0,235.5859304,20.43724741,620.0,90.0,0.0,10.0,1,2,G,2,2,1,0,5949.5,1.5,1.848755,160.4500766,112.8172429,140.0,334.4430054,438.8547083,1967.557179,57.67494201,900.0,1.903815087
Dasyprocta punctata,lc,Rodentia,2229.56,227.0,18.34,620.0,90.0,0.0,10.0,1,2,G,3,2,1,0,5037.0,1.64,1.87,126.9130733,109.825,140.0,487.0,596.825,1683.36075,23.281,2400.0,1.647503726
Dasyprocta ruatanica,en,Rodentia,2300.0,227.4194584,19.07264292,620.0,90.0,0.0,10.0,1,2,G,1,2,1,0,5000.5,1.60191,1.83725,147.2687856,110.9791182,140.0,370.264699,471.6207561,1842.373809,31.27701316,1078.619,1.675931157
Dasyprocta variegata,dd,Rodentia,4100.0,227.0,18.34,620.0,100.0,0.0,0.0,1,2,G,1,2,1,0,5037.0,1.64,1.87,126.9130733,109.825,140.0,487.0,596.825,1683.36075,23.281,2400.0,1.647503726
Dasypus hybridus,nt,Cingulata,1500.0,96.20706345,10.10281324,331.592655,0.0,0.0,100.0,2,1,G,5,1,1,0,5061.86593,6.18,1.70021,252.5676357,124.072,72.20185927,318.5070563,391.7012834,1460.0,197.8061828,2000.0,1.324817505
Dasypus kappleri,lc,Cingulata,9926.415,317.7509353,41.25747974,565.17,0.0,0.0,100.0,3,1,G,1,1,1,0,425.8333335,3.235,1.478293333,298.7899287,122.6489435,90.01170404,543.394246,664.8687952,2198.136481,223.6812718,1798.78,20.0143572
Dasypus novemcinctus,lc,Cingulata,3949.01,66.165,8.816,507.895,0.0,0.0,100.0,3,1,G,5,1,1,0,8151.666665,4.0,1.0,338.7163467,133.0,136.981,385.35594,365.0,1825.0,0.26,2000.0,12.7406795
Dasypus pilosus,dd,Cingulata,4444.98,154.025734,18.65310606,503.1764025,0.0,0.0,100.0,3,1,G,1,1,1,0,4290.403882,2.829275,1.12539,346.1266019,115.3877063,89.49855587,401.9191159,465.3032107,1892.108835,104.8589593,2500.0,13.50111275
Dasypus sabanicola,nt,Cingulata,1150.005,98.71397115,10.31953252,356.142575,0.0,0.0,100.0,3,1,G,3,1,1,0,4436.172716,4.0,1.5408,268.0598114,91.274,69.86863632,349.6471569,411.6475478,1604.482686,280.0,475.0,6.960753007
Dasypus septemcinctus,lc,Cingulata,1500.82,95.7514758,10.08974576,305.0,0.0,0.0,100.0,2,1,G,3,1,1,0,6101.583335,5.995,1.72182,255.7110627,126.04612,70.53672523,273.924,399.97012,1642.388448,205.9047573,1795.789,1.325215784
Dasypus yepesi,dd,Cingulata,1722.3,226.5683878,14.31062764,448.77189,0.0,0.0,100.0,3,1,G,1,1,1,0,4365.414904,2.81395,1.138218768,338.2670744,111.7227904,87.33881535,382.820094,433.5138048,1688.859094,108.4702603,1350.0,8.484117399
Dasyuroides byrnei,vu,Dasyuromorphia,105.0,0.0235,1.554,170.245,0.0,70.0,30.0,3,2,G,2,1,1,1,2920.0,6.0,2.0,170.633128,32.745,110.0,273.96,332.695,1049.08055,501.8486214,1661.306,2.154250057
Dasyurus albopunctatus,nt,Dasyuromorphia,603.48,11.7208147,3.79,309.46,0.0,20.0,80.0,3,2,G,2,1,1,0,1669.875,6.19,1.361745,279.9744816,19.29,97.65,348.9513207,390.4389665,992.4355093,393.2529722,3600.0,5.075024798
Dasyurus geoffroii,nt,Dasyuromorphia,1300.0,0.0105,5.17,499.45,0.0,40.0,60.0,3,2,G,2,1,1,0,2278.208333,5.735,1.0,364.750171,16.83,156.06,365.28,434.19,910.7963,2.3,1866.443,7.391721565
Dasyurus hallucatus,en,Dasyuromorphia,564.5,8.206963185,3.50168,282.08,10.0,50.0,40.0,3,3,G,2,2,1,0,2156.541667,6.595,1.0,364.750171,28.54837273,133.445,324.92,374.16,731.3936,16.24,1300.0,4.91166446
Dasyurus maculatus,nt,Dasyuromorphia,1782.0,30.40661205,4.71,593.645,0.0,70.0,30.0,2,2,G,1,1,2,0,2482.0,4.47,1.0,364.750171,21.0,135.0,365.28,395.39,917.4219,3.49,1442.923,1.456481927
